Ionization energy (eV): 43.38929
Energy (eV)	Rate coefficient (m3/s)
123.0	7.615402591278265e-15
124.0	7.647444735370007e-15
125.0	7.678942999256471e-15
126.0	7.709836813609154e-15
127.0	7.740195255330712e-15
128.0	7.770017767157808e-15
129.0	7.79930473239062e-15
130.0	7.828057173429984e-15
131.0	7.856339523771274e-15
132.0	7.884253184311792e-15
133.0	7.911744089327134e-15
134.0	7.938769130955823e-15
135.0	7.965353364897492e-15
136.0	7.991511265980344e-15
137.0	8.017282311464196e-15
138.0	8.042674650523011e-15
139.0	8.06763944491296e-15
140.0	8.092193412865761e-15
141.0	8.116316771589769e-15
142.0	8.140053468895338e-15
143.0	8.163391805690593e-15
144.0	8.186332093109865e-15
145.0	8.208903685983967e-15
146.0	8.231120186627244e-15
147.0	8.252975675278688e-15
148.0	8.274426956465735e-15
149.0	8.295500098790016e-15
150.0	8.316211414298492e-15
151.0	8.336578236203848e-15
152.0	8.356636496656362e-15
153.0	8.376354871869774e-15
154.0	8.395723317010901e-15
155.0	8.41476103616459e-15
156.0	8.433487553227053e-15
157.0	8.451928027160395e-15
158.0	8.47010739250848e-15
159.0	8.48795107692274e-15
160.0	8.505508769687708e-15
161.0	8.522794201075989e-15
162.0	8.539815124545588e-15
163.0	8.556590997373015e-15
164.0	8.573102052711201e-15
165.0	8.589289408551156e-15
166.0	8.605176951414997e-15
167.0	8.620811797276262e-15
168.0	8.636202931600932e-15
169.0	8.65134609117958e-15
170.0	8.666218824094119e-15
171.0	8.68087043118522e-15
172.0	8.69531569821976e-15
173.0	8.709502858367214e-15
174.0	8.723426471058234e-15
175.0	8.737060910256757e-15
176.0	8.750480821118784e-15
177.0	8.763696841045517e-15
178.0	8.776715039456572e-15
179.0	8.789542913419912e-15
180.0	8.802188780931807e-15
181.0	8.814635953256447e-15
182.0	8.826862687922142e-15
183.0	8.838892794690274e-15
184.0	8.850756889884415e-15
185.0	8.862411291377896e-15
186.0	8.873853972329397e-15
187.0	8.885106276829009e-15
188.0	8.896177513991182e-15
189.0	8.907094518389409e-15
190.0	8.917791423415832e-15
191.0	8.928309709665423e-15
192.0	8.938646365367446e-15
193.0	8.948814378897678e-15
194.0	8.95883936099863e-15
195.0	8.968717947250606e-15
196.0	8.978429797156499e-15
197.0	8.987996862391552e-15
198.0	8.997397310827242e-15
199.0	9.006647653065096e-15
200.0	9.015749184736883e-15
201.0	9.024686699963327e-15
202.0	9.033451149978703e-15
203.0	9.042060114309658e-15
204.0	9.050524560543046e-15
205.0	9.058814173292583e-15
206.0	9.066951191357372e-15
207.0	9.07495113293889e-15
208.0	9.082794541301983e-15
209.0	9.090529549742014e-15
210.0	9.098122681504461e-15
211.0	9.10555438401539e-15
212.0	9.112842585961892e-15
213.0	9.119966472574026e-15
214.0	9.126948349848457e-15
215.0	9.13379244593965e-15
216.0	9.140511278151974e-15
217.0	9.147138104055064e-15
218.0	9.153641495977858e-15
219.0	9.160022395655877e-15
220.0	9.166291472263175e-15
221.0	9.172446136270375e-15
222.0	9.178482894722866e-15
223.0	9.184408424411864e-15
224.0	9.190215399750528e-15
225.0	9.195902055479779e-15
226.0	9.20148929800651e-15
227.0	9.206987113911121e-15
228.0	9.212385247945862e-15
229.0	9.217689098400746e-15
230.0	9.22286729507535e-15
231.0	9.227939706661592e-15
232.0	9.232910375028892e-15
233.0	9.237747781081006e-15
234.0	9.242492210038739e-15
235.0	9.247137156087674e-15
236.0	9.251686739404062e-15
237.0	9.256151368862927e-15
238.0	9.260534540212711e-15
239.0	9.264839125532852e-15
240.0	9.26904877856803e-15
241.0	9.273140813421801e-15
242.0	9.27714721598597e-15
243.0	9.281068159794662e-15
244.0	9.284900036289238e-15
245.0	9.288651446571663e-15
246.0	9.29230669545808e-15
247.0	9.295869009496197e-15
248.0	9.299364512442264e-15
249.0	9.302786930152014e-15
250.0	9.30611833952809e-15
251.0	9.309365686899375e-15
252.0	9.312542960131391e-15
253.0	9.31564208873423e-15
254.0	9.318665883444396e-15
255.0	9.321626770720281e-15
