Ionization energy (eV): 84.12929
Energy (eV)	Rate coefficient (m/s)
124.0	1.9829827492847583e-16
125.0	2.005228234197703e-16
126.0	2.0274235326865849e-16
127.0	2.0495329944365935e-16
128.0	2.0715669477828465e-16
129.0	2.0935566760058692e-16
130.0	2.1154660902637882e-16
131.0	2.1372721676629608e-16
132.0	2.15899295414758e-16
133.0	2.180664997577694e-16
134.0	2.2022838666616318e-16
135.0	2.223866602345982e-16
136.0	2.2453935731063326e-16
137.0	2.266833168578157e-16
138.0	2.28820617549041e-16
139.0	2.3094994020232487e-16
140.0	2.3307239743531545e-16
141.0	2.3518707085519096e-16
142.0	2.3729331213297867e-16
143.0	2.3939454126453185e-16
144.0	2.414935602525285e-16
145.0	2.4358707894910146e-16
146.0	2.456743946459867e-16
147.0	2.4775721821100025e-16
148.0	2.4983333180355183e-16
149.0	2.519046726980489e-16
150.0	2.539714428031262e-16
151.0	2.5603370251255193e-16
152.0	2.580900983120168e-16
153.0	2.6014216989258823e-16
154.0	2.6218903918432433e-16
155.0	2.6423225352724466e-16
156.0	2.662701796877285e-16
157.0	2.6830088006009644e-16
158.0	2.7032293328546874e-16
159.0	2.72339425737766e-16
160.0	2.7435001654827985e-16
161.0	2.763553550640709e-16
162.0	2.783555690621917e-16
163.0	2.80350600451525e-16
164.0	2.823399161847428e-16
165.0	2.843244361406605e-16
166.0	2.8630238989165464e-16
167.0	2.882727969374187e-16
168.0	2.9023796733490653e-16
169.0	2.9219893198539417e-16
170.0	2.9415501084016023e-16
171.0	2.961049879690758e-16
172.0	2.980467496552503e-16
173.0	2.99983946088603e-16
174.0	3.0191563173419216e-16
175.0	3.0384126396836764e-16
176.0	3.0576167343021754e-16
177.0	3.076777750139432e-16
178.0	3.095896984418603e-16
179.0	3.1149438287346786e-16
180.0	3.1339279279478074e-16
181.0	3.1528866443137864e-16
182.0	3.171775998781207e-16
183.0	3.190614225243332e-16
184.0	3.209433011552704e-16
185.0	3.2282212226072143e-16
186.0	3.2469632009326215e-16
187.0	3.265653895286652e-16
188.0	3.2843071223091616e-16
189.0	3.302914487598832e-16
190.0	3.3214631231053884e-16
191.0	3.339959236934526e-16
192.0	3.3584038261747715e-16
193.0	3.3767852612141593e-16
194.0	3.395095137010659e-16
195.0	3.4133409508548074e-16
196.0	3.431536029407127e-16
197.0	3.449688868521397e-16
198.0	3.4677888234685517e-16
199.0	3.485870071520844e-16
200.0	3.5039100235591074e-16
201.0	3.521891273708584e-16
202.0	3.539845910980798e-16
203.0	3.557770330512065e-16
204.0	3.575660397564419e-16
205.0	3.593509231948867e-16
206.0	3.611314965528502e-16
207.0	3.629084119864621e-16
208.0	3.646830383866687e-16
209.0	3.664521487576692e-16
210.0	3.682179116917349e-16
211.0	3.6997983982715947e-16
212.0	3.7173964849145943e-16
213.0	3.7349667208400437e-16
214.0	3.7524961209164083e-16
215.0	3.769981057504049e-16
216.0	3.787430366787494e-16
217.0	3.804859254919607e-16
218.0	3.8222664970427425e-16
219.0	3.8396429853606984e-16
220.0	3.8569626477617217e-16
221.0	3.8742414166264943e-16
222.0	3.891475781314778e-16
223.0	3.908650661990133e-16
224.0	3.92575482477021e-16
225.0	3.942798236979062e-16
226.0	3.959790834344516e-16
227.0	3.9767324980248364e-16
228.0	3.9936191995735856e-16
229.0	4.010453254422506e-16
230.0	4.027252962435784e-16
231.0	4.044040560336812e-16
232.0	4.060797951071779e-16
233.0	4.077510485321254e-16
234.0	4.094190377785438e-16
235.0	4.110843005709065e-16
236.0	4.127473344470567e-16
237.0	4.1440833651837725e-16
238.0	4.160657587639273e-16
239.0	4.1771959818969846e-16
240.0	4.1936862097534393e-16
241.0	4.2101353785310136e-16
242.0	4.2265698199705483e-16
243.0	4.242974107880303e-16
244.0	4.259343568267343e-16
245.0	4.2756744417696616e-16
246.0	4.2919902853924243e-16
247.0	4.308272596978767e-16
248.0	4.3244986502729255e-16
249.0	4.3406661380471114e-16
250.0	4.356789324074409e-16
251.0	4.3728977466081983e-16
252.0	4.3889744636604155e-16
253.0	4.404990920430889e-16
254.0	4.420956891793335e-16
255.0	4.436879027165453e-16
