Ionization energy (eV): 15.75962
Energy (eV)	Rate coefficient (m3/s)
120.0	1.3261286797503988e-13
121.0	1.3301190451876929e-13
122.0	1.3340531922216933e-13
123.0	1.3379327420918805e-13
124.0	1.3417605694061878e-13
125.0	1.3455371455347505e-13
126.0	1.3492621180533257e-13
127.0	1.3529348239425967e-13
128.0	1.3565576277640722e-13
129.0	1.3601330214225936e-13
130.0	1.3636602208530578e-13
131.0	1.367139467491289e-13
132.0	1.3705701580445434e-13
133.0	1.373951252775928e-13
134.0	1.3772872346717655e-13
135.0	1.3805778501829451e-13
136.0	1.3838241246253942e-13
137.0	1.387027647634629e-13
138.0	1.3901892545357536e-13
139.0	1.3933106626218174e-13
140.0	1.3963922353524502e-13
141.0	1.3994325465852944e-13
142.0	1.4024341541131088e-13
143.0	1.4053979699309486e-13
144.0	1.408323972910568e-13
145.0	1.4112107095581197e-13
146.0	1.4140597291773348e-13
147.0	1.4168729749814272e-13
148.0	1.419648228526324e-13
149.0	1.422389397691139e-13
150.0	1.425097086442102e-13
151.0	1.4277719291119097e-13
152.0	1.4304126967471766e-13
153.0	1.4330195099873514e-13
154.0	1.4355937044535832e-13
155.0	1.4381340858276531e-13
156.0	1.4406429201239666e-13
157.0	1.4431218064112842e-13
158.0	1.4455691737305488e-13
159.0	1.4479845815858143e-13
160.0	1.450370323485059e-13
161.0	1.4527259260134277e-13
162.0	1.4550523535658887e-13
163.0	1.4573501303219403e-13
164.0	1.459619883286334e-13
165.0	1.4618613804111478e-13
166.0	1.464074414392722e-13
167.0	1.466260550837732e-13
168.0	1.4684193805484537e-13
169.0	1.4705505019027136e-13
170.0	1.472654607065616e-13
171.0	1.4747321955300519e-13
172.0	1.4767834057005417e-13
173.0	1.478809130833455e-13
174.0	1.4808095169125298e-13
175.0	1.4827849941624954e-13
176.0	1.484735283134067e-13
177.0	1.4866628134416239e-13
178.0	1.4885676756353322e-13
179.0	1.490449657170686e-13
180.0	1.4923093556904755e-13
181.0	1.4941465489291481e-13
182.0	1.4959619998062347e-13
183.0	1.4977561014047814e-13
184.0	1.4995292804886635e-13
185.0	1.5012802029753924e-13
186.0	1.5030096309414926e-13
187.0	1.5047190109529426e-13
188.0	1.5064082550581648e-13
189.0	1.5080764431965872e-13
190.0	1.5097244831616505e-13
191.0	1.511352225602135e-13
192.0	1.5129596291726894e-13
193.0	1.514547010207045e-13
194.0	1.5161144862146388e-13
195.0	1.5176616596028033e-13
196.0	1.519190708227489e-13
197.0	1.5207002259926803e-13
198.0	1.522192829497229e-13
199.0	1.5236677298329635e-13
200.0	1.5251264871754192e-13
201.0	1.526568922884488e-13
202.0	1.5279939583776564e-13
203.0	1.5294021704040072e-13
204.0	1.5307932963472567e-13
205.0	1.5321686957658927e-13
206.0	1.5335278714307827e-13
207.0	1.5348704673249729e-13
208.0	1.5361962248753314e-13
209.0	1.5375049756819963e-13
210.0	1.5387977539016396e-13
211.0	1.540075995521142e-13
212.0	1.541340477752917e-13
213.0	1.5425910473089144e-13
214.0	1.5438269464298038e-13
215.0	1.545046758005236e-13
216.0	1.546251394819993e-13
217.0	1.5474416594056156e-13
218.0	1.548618834733796e-13
219.0	1.5497833568710985e-13
220.0	1.5509328721702032e-13
221.0	1.552067964633742e-13
222.0	1.553191130440798e-13
223.0	1.5542999639522752e-13
224.0	1.555395634317643e-13
225.0	1.556478083975866e-13
226.0	1.557548160024151e-13
227.0	1.558605286086273e-13
228.0	1.559648670199622e-13
229.0	1.560680305402563e-13
230.0	1.561698634535749e-13
231.0	1.5627029874322116e-13
232.0	1.5636946592917564e-13
233.0	1.564673859521052e-13
234.0	1.5656411999384462e-13
235.0	1.5665955552827626e-13
236.0	1.5675367590514985e-13
237.0	1.5684652523903316e-13
238.0	1.5693816433277582e-13
239.0	1.5702856524985213e-13
240.0	1.5711789693507964e-13
241.0	1.5720611234427517e-13
242.0	1.5729319670810736e-13
243.0	1.5737919547092222e-13
244.0	1.5746411725964672e-13
245.0	1.5754802287460919e-13
246.0	1.5763072490493155e-13
247.0	1.5771229197264044e-13
248.0	1.5779285162629094e-13
249.0	1.5787242373086583e-13
250.0	1.5795107453190343e-13
251.0	1.580288116759253e-13
252.0	1.5810573891171383e-13
253.0	1.5818166526911131e-13
254.0	1.5825665291858056e-13
255.0	1.5833060642226684e-13
